"","address","latitude","longitude"
"478","Leipzig Germany",51.3406321,12.3747329
"479","Düsseldorf Germany",51.2254018,6.7763137
"480","Hamburg Germany",53.550341,10.000654
"481","Mons Belgium",50.4549568,3.951958
"482","Berlin Germany",52.5170365,13.3888599
"483","Hamburg Sankt Pauli Germany",53.5456924,9.9700895
"484","Düsseldorf Germany",51.2254018,6.7763137
"485","Augsburg Germany",48.3690341,10.8979522
"486","Stuttgart Stuttgart-Mitte Germany",48.7856099,9.1833959
"487","Dillenburg Germany",50.7404535,8.2874957
"488","Bruxelles Belgium",50.8465573,4.351697
"489","Kiel Germany",54.3227085,10.135555
"490","Köln Germany",50.938361,6.959974
"491","Berlin Germany",52.5170365,13.3888599
"492","Tournai Belgium",50.6056458,3.3878179
"493","Osnabrück Germany",52.2719595,8.047635
"494","Hamburg Germany",53.550341,10.000654
"495","Heilbronn Germany",49.142291,9.218655
"496","München Germany",48.1371079,11.5753822
"497","Hamburg Sankt Pauli Germany",53.5456924,9.9700895
"498","Hanau Germany",50.132881,8.9169797
"499","Toila Estonia",59.42096485,27.51543959072337
"500","Bressuire France",46.8425572,-0.4929017
"501","Luleå Sweden",65.5831187,22.1459535
"502","Żurowa Poland",49.7161111,19.9675
"503","Dobra Poland",51.9161774,18.6159693
"504","Marseille France",43.2961743,5.3699525
"505","Larvik Norway",59.0967308,10.021929959972812
"506","Örebro Sweden",59.2747287,15.2151181
"507","Jablonec nad Nisou Czech Republic",50.7240899,15.1710958
"508","Liběšice Czech Republic",50.5688586,14.2890639
"509","Mesopotamía Greece",40.5051432,21.1574722
"510","Hoorn Netherlands",52.622545450000004,5.067726588147824
"511","Dębowa Łąka Poland",53.2569001,19.0938907
"512","Simrishamn Sweden",55.566667,14.3
"513","Agrínio Greece",38.6248275,21.4094206
"514","Täby Sweden",59.4670482,18.0658494
"515","Stari Grad Croatia",43.184144,16.5990028
"516","Telsiai Lithuania",55.9846135,22.2490753
"517","Morávka Czech Republic",49.5960703,18.5247134
"518","Norberg Sweden",60.0864052,15.9533232
"519","Skurup Sweden",55.4815088,13.554477
"520","Falkenberg Sweden",56.904894,12.4912926
"521","Grabica Poland",51.4791649,19.5323329
"522","Grenoble France",45.1875602,5.7357819
"523","Gävle Sweden",60.6750132,17.1467019
"524","Põlva Estonia",58.0536163,27.0582568
"525","Saint-Laurent-Blangy France",50.2993922,2.8016229
"526","Leppävirta Finland",62.4894313,27.7860813
"527","Paris 16 France",48.8588897,2.3200410217200766
"528","Komiža Croatia",43.044573,16.090491
"529","Roma Italy",41.8933203,12.4829321
"530","Fálanna Greece",35.2747059,24.5035636
"531","Horvati Croatia",45.3658443,15.6575209
"532","Utrecht (stad) Netherlands",52.1592134,5.3799549
"533","Hankasalmi Finland",62.3905202,26.4397473
"534","Žrnovnica Croatia",43.5198164,16.5485466
"535","Ulricehamn Sweden",57.8,13.383333
"536","Bagneux France",49.458056,3.279444
"537","Teplice Czech Republic",50.6406644,13.8244461
"538","Lille France",50.6365654,3.0635282
"539","Bar-le-Duc France",48.7712673,5.1623805
"540","Torsås Sweden",56.416667,15.833333
"541","Mora Sweden",61.0086787,14.5442519
"542","Boulogne-Billancourt France",48.8356649,2.240206
"543","Lyon France",45.7578137,4.8320114
"544","Garbów Poland",52.1582089,19.5852566
"545","Thionville France",49.3579272,6.1675872
"546","Kramarzówka Poland",49.8659983,22.5126944
"547","Osby Sweden",56.416667,14.083333
"548","Amiens France",49.8941708,2.2956951
"549","Tučepi Croatia",43.2651336,17.0580946
"550","Chambéry France",45.5662672,5.9203636
"551","Vagney France",48.0091314,6.7172863
"552","Levallois-Perret France",48.892956,2.2881683
"553","Ożarowice Poland",50.4638913,19.042814
"554","Halinów Poland",52.3581586,19.4706484
"555","Krasnystaw Poland",50.99184805,23.165038002215837
"556","Forssa Finland",60.8155736,23.629833
"557","Montesson France",48.9076421,2.1492681
"558","Huddinge Sweden",59.2293827,17.9748815
"559","Paris 15 France",48.8366762,2.2960133
"560","Sala Sweden",59.966667,16.6
"561","Dobje pri Planini Slovenia",46.1376103,15.3934311
"562","Eger Hungary",47.8989887,20.3743665
"563","Oslo Norway",59.9133301,10.7389701
"564","Linköping Sweden",58.4098135,15.6245252
"565","La Ravoire France",45.5586324,5.9643319
"566","Načeradec Czech Republic",49.6103317,14.9060072
"567","Tournon-sur-Rhône France",45.0675156,4.832852
"568","Mílos Greece",36.70934405,24.506833813253667
"569","Nacka Sweden",59.3120997,18.2073591
"570","Wintzenheim France",48.0724515,7.2925545
"571","Mirotice Czech Republic",49.4290263,14.0368614
"572","Spytkowice Poland",49.994979,19.5087999
"573","Pau France",43.2957547,-0.3685668
"574","Redon France",47.6510682,-2.0842143
"575","Vilémov Czech Republic",49.5350646,15.3835931
"576","Lovrenc na Pohorju Slovenia",46.5413597,15.3885739
"577","Trzebnica Poland",51.3096424,17.062596
"578","Falkenberg Sweden",56.904894,12.4912926
